iter	Passed	Remaining
481	672	722
482	673	721
483	675	719
484	676	718
485	677	716
486	679	715
487	680	713
488	681	712
489	682	710
490	684	709
491	685	707
492	686	706
493	688	704
494	689	703
495	690	701
496	692	700
497	693	698
498	694	697
499	695	695
500	697	694
501	698	692
502	699	691
503	700	689
504	702	688
505	703	686
506	705	685
507	706	684
508	707	682
509	709	681
510	710	680
511	712	678
512	713	677
513	715	676
514	716	674
515	718	673
516	719	672
517	721	671
518	722	669
519	723	668
520	725	666
521	726	665
522	728	664
523	729	662
524	731	661
525	732	660
526	734	659
527	735	657
528	737	656
529	738	654
530	740	653
531	741	652
532	742	650
533	744	649
534	745	648
535	748	648
536	750	646
537	751	645
538	752	643
539	754	642
540	755	640
541	756	639
542	758	638
543	759	637
544	761	635
545	762	634
546	764	632
547	765	631
548	767	630
549	768	629
550	770	627
551	771	626
552	773	624
553	774	623
554	776	622
555	777	620
556	778	619
557	779	617
558	781	616
559	782	614
560	784	613
561	785	612
562	786	610
563	788	609
564	789	607
565	790	606
566	791	604
567	793	603
568	795	602
569	796	601
570	797	599
571	798	597
572	799	596
573	801	594
574	802	592
575	802	591
576	804	589
577	804	587
578	805	585
579	806	583
580	807	582
581	807	580
582	808	578
583	809	576
584	810	575
585	811	573
586	812	571
587	813	570
588	814	568
589	815	566
590	816	565
591	817	563
592	818	561
593	819	560
594	820	558
595	820	556
596	821	554
597	822	552
598	823	551
599	824	549
600	825	547
601	826	546
602	827	545
603	829	543
604	830	541
605	830	540
606	831	538
607	832	536
608	833	534
609	834	533
610	835	531
611	835	529
612	836	528
613	837	526
614	838	524
615	839	523
616	840	521
617	841	519
618	842	518
619	843	516
620	843	515
621	844	513
622	846	511
623	847	510
624	848	509
625	849	507
626	849	505
627	851	504
628	852	502
629	853	501
630	855	500
631	856	498
632	857	497
633	859	496
634	860	494
635	862	493
636	864	492
637	865	491
638	866	489
639	870	489
640	871	488
641	873	486
642	874	485
643	875	484
644	877	482
645	878	481
646	879	479
647	880	478
648	882	477
649	884	476
650	886	475
651	887	473
652	888	472
653	889	470
654	891	469
655	892	468
656	894	466
657	896	465
658	897	464
659	898	463
660	900	461
661	901	460
662	902	458
663	904	457
664	905	456
665	907	454
666	908	453
667	909	452
668	911	450
669	912	449
670	914	448
671	915	446
672	917	445
673	919	444
674	920	443
675	922	442
676	923	440
677	925	439
678	926	438
679	927	436
680	929	435
681	930	433
682	931	432
683	933	431
684	934	429
685	936	428
686	937	427
687	938	425
688	939	424
689	940	422
690	942	421
691	944	420
692	945	418
693	947	417
694	948	416
695	949	414
696	951	413
697	952	412
698	954	410
699	955	409
700	956	408
701	957	406
702	959	405
703	961	404
704	962	402
705	964	401
706	966	400
707	967	399
708	968	397
709	970	396
710	971	394
711	972	393
712	973	392
713	975	390
714	976	389
715	978	387
716	979	386
717	980	385
718	982	383
719	983	382
720	984	380
721	985	379
722	986	378
723	988	376
724	989	375
725	990	373
726	991	372
727	993	371
728	994	369
729	995	368
730	996	366
731	997	365
732	999	364
733	1000	362
734	1002	361
735	1003	359
736	1004	358
737	1005	357
738	1007	355
739	1008	354
740	1009	352
741	1010	351
742	1011	349
743	1012	348
744	1017	348
745	1018	346
746	1019	345
747	1020	343
748	1022	342
749	1023	341
750	1025	339
751	1026	338
752	1028	337
753	1029	335
754	1031	334
755	1032	333
756	1033	331
757	1034	330
758	1035	328
759	1036	327
760	1038	326
761	1041	325
762	1042	323
763	1043	322
764	1044	320
765	1046	319
766	1047	318
767	1049	316
768	1050	315
769	1051	314
770	1052	312
771	1054	311
772	1055	309
773	1056	308
774	1057	307
775	1058	305
776	1060	304
