iter	RMSE
0	612.2091843
1	601.5132758
2	590.7278097
3	580.6126024
4	570.1237625
5	560.4358247
6	551.5338151
7	541.2716272
8	531.1959758
9	521.2799423
10	512.0249023
11	502.8996199
12	493.9425991
13	484.8922176
14	476.0722187
15	468.3530453
16	459.7468163
17	451.4855625
18	443.3204232
19	435.7354866
20	428.5749848
21	421.5962516
22	415.0298552
23	407.7648466
24	401.3928097
25	394.8962726
26	388.4988023
27	381.5586139
28	374.8127506
29	368.6976546
30	363.5890382
31	358.07468
32	351.7333564
33	347.1251983
34	341.5623472
35	336.4752274
36	330.7035939
37	325.081107
38	319.9828642
39	315.0778298
40	309.4354163
41	304.2808794
42	299.2751732
43	293.9821816
44	289.2244285
45	284.2143311
46	279.3996821
47	274.6382971
48	270.4465147
49	265.6933528
50	261.7484234
51	257.6298306
52	253.5981384
53	250.2648756
54	247.1463609
55	243.1380131
56	238.9030771
57	234.9166703
58	230.8544675
59	226.8627718
60	223.38123
61	219.8908024
62	216.2711996
63	213.4793047
64	210.1643496
65	207.0338748
66	203.976919
67	200.7898383
68	197.7870857
69	195.2440795
70	191.9349398
71	189.1715228
72	186.184193
73	183.4181275
74	180.9766683
75	178.0758977
76	175.3671677
77	172.8170437
78	169.9495935
79	167.6182458
80	164.9305501
81	162.5673679
82	159.9470209
83	157.6879832
84	155.3501852
85	152.9186366
86	150.8589443
87	148.7148874
88	146.4371656
89	144.3378315
90	142.2258069
91	140.1515008
92	138.3614748
93	136.4836766
94	134.7220808
95	132.8630608
96	130.9325453
97	129.3127113
98	127.5052706
99	125.7082567
100	124.1062039
101	122.3158338
102	120.778276
103	119.0399106
104	117.3540099
105	115.5090078
106	114.0682806
107	112.6093409
108	111.1142198
109	109.5473951
110	108.0251965
111	106.7147138
112	105.3923965
113	103.9212974
114	102.3268008
115	100.9575606
116	99.65346728
117	98.25099402
118	96.82858387
119	95.46372802
120	94.19284069
121	92.94090322
122	91.86338326
123	90.59325308
124	89.24572674
125	88.05086153
126	86.86161364
127	85.66527671
128	84.50337593
129	83.42935094
130	82.38559287
131	81.28541105
132	80.16811988
133	79.10233127
134	78.01343067
135	77.05251773
136	76.06804402
137	75.0790357
138	74.06907113
139	73.11571344
140	72.33518912
141	71.40200496
142	70.48736357
143	69.71218502
144	68.81466033
145	67.98877066
146	67.1789585
147	66.39266064
148	65.55943359
149	64.79109805
150	63.95855871
151	63.26800815
152	62.51038144
153	61.71919089
154	60.9598019
155	60.20824286
156	59.46239109
157	58.73682577
158	58.01549581
159	57.31932708
160	56.78163078
161	56.09980518
162	55.42400324
163	54.79489157
164	54.25920799
165	53.65965841
166	53.02011598
167	52.38274871
168	51.81232495
169	51.25968262
170	50.73486174
171	50.17927771
172	49.57882418
173	49.0595379
174	48.53104225
175	48.01084512
176	47.53545898
177	47.00718497
178	46.47395264
179	46.00321074
180	45.53273752
181	45.05605534
182	44.61207759
183	44.11950852
184	43.73980038
185	43.312309
186	42.90643674
187	42.52369393
188	42.08897135
189	41.69716347
190	41.29836581
191	40.92883343
192	40.52351291
193	40.14082772
194	39.73664051
195	39.39826307
196	39.06246757
197	38.69395046
198	38.27672271
199	37.94426111
200	37.6082344
201	37.28398399
202	36.98493404
203	36.65269254
204	36.3691458
205	36.0566112
206	35.68530208
207	35.4036908
208	35.09065029
209	34.80775459
210	34.51940384
211	34.21121577
212	34.02646131
213	33.74236023
214	33.50541197
215	33.18390157
216	32.88937301
217	32.57016419
218	32.30731863
219	32.01279665
220	31.73637593
221	31.55298051
222	31.29357106
223	31.1051485
224	30.90196921
225	30.65146791
226	30.48263351
227	30.32315055
228	30.14220198
229	29.96428886
230	29.74120574
231	29.509373
232	29.33623285
233	29.16941698
234	28.98881861
235	28.75880869
236	28.62172217
237	28.39465077
238	28.23788482
239	28.09212923
240	27.95821301
241	27.79977761
242	27.57515474
243	27.44445408
244	27.28824789
245	27.15967101
246	27.0249647
247	26.87230459
248	26.72894314
249	26.57874763
250	26.42994416
251	26.28265261
252	26.13699419
253	26.01321836
254	25.8695572
255	25.65215305
